"","Date","FIPS","MMWR_week","Recip_County","Recip_State","Series_Complete_Pop_Pct","Series_Complete_Yes","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","SVI_CTGY","Series_Complete_Pop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Metro_status","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity"
"1","09/29/2021","19131",39,"Mitchell County","IA",43.9,4652,4652,51.8,4428,54.8,1802,79.6,97.5,4887,46.2,4887,54.5,4636,57.4,1851,81.7,"A",3,4,4,4,"Non-metro",7,8,8,8
"2","09/29/2021","05029",39,"Conway County","AR",47.2,9830,9824,55.4,9194,57,3065,74.5,90.2,11109,53.3,11101,62.6,10336,64,3265,79.4,"D",15,16,16,16,"Non-metro",7,8,8,8
"3","09/29/2021","19173",39,"Taylor County","IA",41.8,2558,2558,49.7,2493,53.2,1141,82,97.5,2710,44.3,2710,52.6,2631,56.1,1165,83.7,"B",7,7,8,8,"Non-metro",7,7,8,8
"4","09/29/2021","40095",39,"Marshall County","OK",37.2,6295,6295,43.7,6011,46.1,2435,65.8,93.8,7862,46.4,7862,54.5,7482,57.4,2887,78,"D",14,15,15,15,"Non-metro",6,7,7,7
"5","09/29/2021","16001",39,"Ada County","ID",50.2,241618,NA,NA,241555,65.3,65072,90.4,97.6,266895,55.4,NA,NA,266760,72.1,68409,95.1,"A",4,NA,4,4,"Metro",4,NA,4,4
"6","09/29/2021","19029",39,"Cass County","IA",52.3,6707,6707,60.8,6440,64.4,2673,88.5,97.5,7104,55.3,7104,64.4,6789,67.9,2754,91.1,"A",4,4,4,4,"Non-metro",8,8,8,8
"7","09/29/2021","21097",39,"Harrison County","KY",42,7937,7937,49.2,7578,51.9,2694,79,94.4,9029,47.8,9029,56,8577,58.7,2894,84.9,"C",11,11,12,12,"Non-metro",7,7,8,8
"8","09/29/2021","31119",39,"Madison County","NE",39.5,13860,13859,47.8,13197,50.5,4350,76.4,89.5,NA,0,NA,0,NA,0,NA,0,"C",10,11,12,12,"Non-metro",6,7,8,8
"9","09/29/2021","22007",39,"Assumption Parish","LA",36.9,8076,8076,42.6,7769,45,2751,67,96.6,9294,42.5,9293,49.1,8896,51.6,2970,72.4,"D",14,15,15,15,"Non-metro",6,7,7,7
"10","09/29/2021","28003",39,"Alcorn County","MS",32.9,12175,12174,38.4,11745,41,4488,64.4,98.3,14145,38.3,14141,44.7,13540,47.3,4875,70,"C",10,10,11,11,"Non-metro",6,6,7,7
"11","09/29/2021","41043",39,"Linn County","OR",48.8,63324,63221,57.1,59995,59.5,19916,80.5,97.8,69315,53.4,69177,62.5,65428,64.9,20868,84.3,"C",11,12,12,12,"Metro",3,4,4,4
"12","09/29/2021","54069",39,"Ohio County","WV",12.3,5114,5113,14.1,4671,14,1398,15.2,59.8,7156,17.3,7154,19.8,6520,19.5,1785,19.4,"B",5,5,5,5,"Metro",1,1,1,1
"13","09/29/2021","17127",39,"Massac County","IL",30.8,4242,4239,35.7,4137,38.3,1814,61.5,97.8,5736,41.6,5732,48.3,5553,51.4,2280,77.3,"D",14,14,14,15,"Non-metro",6,6,6,7
"14","09/29/2021","13251",39,"Screven County","GA",33.4,4661,4661,38.9,4420,40.2,1717,62.9,56.9,5492,39.3,5491,45.8,5156,46.8,1807,66.2,"D",14,14,15,15,"Non-metro",6,6,7,7
"15","09/29/2021","31039",39,"Cuming County","NE",46,4072,4072,54.5,3818,57,1293,65.4,89.5,NA,0,NA,0,NA,0,NA,0,"A",3,4,4,3,"Non-metro",7,8,8,7
"16","09/29/2021","17099",39,"LaSalle County","IL",45.4,49346,49280,52.5,46464,54.3,15534,73.9,97.8,64427,59.3,64296,68.5,60487,70.7,19880,94.5,"B",7,8,8,8,"Non-metro",7,8,8,8
"17","09/29/2021","55123",39,"Vernon County","WI",48.8,15054,15054,58.8,14142,62,5366,87.2,97,15929,51.7,15929,62.2,14888,65.3,5532,89.9,"B",7,8,8,8,"Non-metro",7,8,8,8
"18","09/29/2021","13139",39,"Hall County","GA",27.8,56736,56730,33,52172,34,13038,41.4,56.9,65008,31.8,64983,37.8,59212,38.5,14407,45.8,"C",9,10,10,10,"Metro",1,2,2,2
"19","09/29/2021","06027",39,"Inyo County","CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C",NA,NA,NA,NA,"Non-metro",NA,NA,NA,NA
"20","09/29/2021","13247",39,"Rockdale County","GA",16.4,14878,14878,19.3,13040,18.9,2846,21,56.9,16548,18.2,16545,21.4,14133,20.5,3014,22.2,"C",9,9,9,9,"Metro",1,1,1,1
"21","09/29/2021","13235",39,"Pulaski County","GA",13.1,1461,1461,14.8,1335,14.6,259,10.2,56.9,1922,17.3,1921,19.4,1741,19.1,308,12.1,"D",13,13,13,13,"Metro",1,1,1,1
"22","09/29/2021","35023",39,"Hidalgo County","NM",42.5,1784,1784,50.1,1634,50.3,539,57.2,84.1,NA,0,NA,0,NA,0,NA,0,"D",15,16,16,15,"Non-metro",7,8,8,7
"23","09/29/2021","17019",39,"Champaign County","IL",53,111195,110905,60.5,104170,61.1,22782,81.9,97.8,137879,65.8,137448,75,129064,75.7,25498,91.6,"B",8,8,8,8,"Metro",4,4,4,4
"24","09/29/2021","12129",39,"Wakulla County","FL",38.9,13140,13140,44.8,12484,46.7,4516,84.2,98.7,16400,48.6,16398,55.9,15570,58.2,5298,98.7,"B",6,7,7,8,"Metro",2,3,3,4
"25","09/29/2021","13089",39,"DeKalb County","GA",30.1,228856,228792,35.8,209451,35.8,46191,47.2,56.9,264870,34.9,264697,41.4,239981,41,52270,53.4,"C",10,10,10,10,"Metro",2,2,2,2
"26","09/29/2021","48315",39,"Marion County","TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C",NA,NA,NA,NA,"Non-metro",NA,NA,NA,NA
"27","09/29/2021","46053",39,"Gregory County","SD",37.1,1553,1553,43.9,1482,46.5,714,66.2,84.7,NA,0,NA,0,NA,0,NA,0,"B",6,7,7,7,"Non-metro",6,7,7,7
"28","09/29/2021","48359",39,"Oldham County","TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B",NA,NA,NA,NA,"Metro",NA,NA,NA,NA
