"","Date","FIPS","MMWR_week","Recip_County","Recip_State","Series_Complete_Pop_Pct","Series_Complete_Yes","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","SVI_CTGY","Series_Complete_Pop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Metro_status","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity"
"1","11/10/2021","05071",45,"Johnson County","AR",44.7,11889,11879,53.3,11086,55.3,3056,68.1,90.3,13914,52.4,13879,62.3,12883,64.2,3416,76.2,"D",15,16,16,15,"Non-metro",7,8,8,7
"2","11/10/2021","22055",45,"Lafayette Parish","LA",45.7,111752,111747,54.4,105102,56.3,27321,81.2,96.7,124882,51.1,124858,60.8,116986,62.7,28759,85.5,"C",11,12,12,12,"Metro",3,4,4,4
"3","11/10/2021","37195",45,"Wilson County","NC",47.1,38554,38531,55.3,36388,57.6,11889,77.5,97.3,45377,55.5,45242,64.9,42795,67.7,13723,89.5,"D",15,16,16,16,"Non-metro",7,8,8,8
"4","11/10/2021","37143",45,"Perquimans County","NC",43.3,5829,5828,49.2,5677,51.8,2764,75.3,97.3,7221,53.6,7220,60.9,6997,63.9,3323,90.5,"C",11,11,12,12,"Non-metro",7,7,8,8
"5","11/10/2021","39149",45,"Shelby County","OH",32.8,15918,15918,38.9,15387,42,5757,69.6,98.6,16794,34.6,16773,41,16180,44.2,5996,72.5,"A",2,2,3,3,"Non-metro",6,6,7,7
"6","11/10/2021","31073",45,"Gosper County","NE",35.9,715,715,41.4,689,44.1,262,53.8,89.8,NA,0,NA,0,NA,0,NA,0,"A",2,3,3,3,"Non-metro",6,7,7,7
"7","11/10/2021","13129",45,"Gordon County","GA",16.4,9487,9486,19.3,8589,19.5,1497,16.9,58.2,NA,0,NA,0,NA,0,NA,0,"D",13,13,13,13,"Non-metro",5,5,5,5
"8","11/10/2021","21137",45,"Lincoln County","KY",37.1,9097,9097,44,8664,46.2,3087,66.9,93.9,10117,41.2,10099,48.8,9583,51.2,3310,71.7,"C",10,11,11,11,"Non-metro",6,7,7,7
"9","11/10/2021","36023",45,"Cortland County","NY",54,25689,25689,61.6,24076,62.6,6795,84.6,97.6,27312,57.4,27237,65.3,25528,66.4,7265,90.4,"B",8,8,8,8,"Non-metro",8,8,8,8
"10","11/10/2021","48385",45,"Real County","TX",46.1,1591,1591,51.7,1553,53.8,801,76.1,99.1,1801,52.2,1801,58.5,1751,60.7,872,82.8,"C",11,12,12,12,"Non-metro",7,8,8,8
"11","11/10/2021","16051",45,"Jefferson County","ID",34,10155,NA,NA,10152,51.2,2774,80.3,97.6,11367,38.1,NA,NA,11359,57.3,2972,86,"B",6,NA,8,8,"Metro",2,NA,4,4
"12","11/10/2021","08071",45,"Las Animas County","CO",56.2,8151,8144,63.4,7777,65.3,3031,82.2,97.3,8717,60.1,8704,67.8,8290,69.6,3036,82.4,"D",16,16,16,16,"Non-metro",8,8,8,8
"13","11/10/2021","36029",45,"Erie County","NY",62.8,576897,576882,72.4,540491,73.7,144697,85.7,97.6,618506,67.3,616448,77.3,576977,78.7,154408,91.4,"B",8,8,8,8,"Metro",4,4,4,4
"14","11/10/2021","42129",45,"Westmoreland County","PA",54.7,190893,190875,61.8,181819,63.7,66558,81.9,94.5,241313,69.2,240908,78.1,230005,80.6,91473,99.9,"A",4,4,4,4,"Metro",4,4,4,4
"15","11/10/2021","28103",45,"Noxubee County","MS",50.7,5284,5284,60.8,4981,63.4,1541,88.9,98.3,5815,55.8,5814,66.9,5438,69.2,1604,92.6,"D",16,16,16,16,"Non-metro",8,8,8,8
"16","11/10/2021","40077",45,"Latimer County","OK",31.2,3143,3143,36.4,3002,38.1,1113,49.9,93.9,3491,34.7,3486,40.4,3309,42,1162,52.1,"D",14,14,14,14,"Non-metro",6,6,6,6
"17","11/10/2021","30063",45,"Missoula County","MT",59,70550,70547,67.2,66436,68.2,17157,88.7,95.7,75526,63.1,75506,72,70972,72.9,18401,95.2,"A",4,4,4,4,"Metro",4,4,4,4
"18","11/10/2021","05137",45,"Stone County","AR",33.7,4220,4218,38.4,4061,40.1,1892,54.2,90.3,4833,38.6,4829,43.9,4610,45.6,2070,59.3,"C",10,10,11,11,"Non-metro",6,6,7,7
"19","11/10/2021","20143",45,"Ottawa County","KS",37.4,2131,2131,43.1,2046,45.9,795,65.5,93.6,2338,41,2338,47.3,2240,50.3,840,69.2,"A",2,3,3,3,"Non-metro",6,7,7,7
"20","11/10/2021","42023",45,"Cameron County","PA",55.4,2465,2465,63.1,2397,65.5,1110,88.9,94.5,3167,71.2,3167,81.1,3086,84.3,1417,99.9,"B",8,8,8,8,"Non-metro",8,8,8,8
"21","11/10/2021","12003",45,"Baker County","FL",31.5,9201,9201,37.4,8829,39.7,2890,70.2,98.7,11413,39.1,11401,46.3,10951,49.2,3196,77.6,"C",10,10,10,12,"Metro",2,2,2,4
"22","11/10/2021","20073",45,"Greenwood County","KS",45.5,2724,2724,52.8,2623,56,1204,79.4,93.6,2942,49.2,2942,57.1,2820,60.2,1260,83.1,"A",3,4,4,4,"Non-metro",7,8,8,8
"23","11/10/2021","30069",45,"Petroleum County","MT",28.7,140,140,32.3,139,34.3,77,61.6,95.7,151,31,151,34.9,150,37,79,63.2,"A",1,2,2,3,"Non-metro",5,6,6,7
"24","11/10/2021","UNK",45,"Unknown County","IL",0,242992,242755,0,232904,0,59603,0,96.9,271961,0,271432,0,259024,0,64300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
